link,accepted,create time,active time,author,reputation,answer quantity,combination,title,question,answer,viewed,vote,question contain code,Solution type,answer or highest vote,SDLC,Symptoms,Taxonomy_Second,Taxonomy_Third,Special case,Unnamed: 21,accepted_time,answers_time,posts_id
https://stackoverflow.com/questions/49156/importing-javascript-in-jsp-tags,Accepted,2008-09-08 04:11:21Z,2015-12-22 23:02:07Z,SCdF,"52,011",2,"javascript,java,jsp,jsp-tags",Importing JavaScript in JSP tags,"I have a .tag file that requires a JavaScript library (as in a .js file).,Currently I am just remembering to import the .js file in every JSP that uses the tag but this is a bit cumbersome and prone to error.,Is there a way to do the importing of the .js inside the JSP tag?","There is no reason you cannot have a script tag in the body, even though it is preferable for it to be in the head. Just emit the script tag before you emit your tag's markup. The only thing to consider is that you do not want to include the script more than once if you use the jsp tag on the page more than once. The way to solve that is to remember that you have already included the script, by addng an attribute to the request object.",4k,7,no,"SA2.1, SB1",5,Coding,Embedding,,,,,2008-09-08 05:37:56Z,"2008-09-08 05:37:56Z,2008-09-08 04:58:26Z","491,564,920,549,185"
https://stackoverflow.com/questions/93911/how-can-you-run-javascript-using-rhino-for-java-in-a-sandbox,Accepted,2008-09-18 16:01:36Z,2015-07-15 14:19:47Z,delux247,"2,171",6,"java,javascript,sandbox,rhino",How can you run Javascript using Rhino for Java in a sandbox?,"Part of our java application needs to run javascript that is written by non-developers. These non-developers are using javascript for data formatting. (Simple logic and string concatenation mostly).,My question is how can I setup the execution of these scripts to make sure scripting errors don't have a major negative impact on the rest of the application.,Basically I need to setup the javascript scope to only include exactly what they need and no more.","To guard against infinite loops, you'd need to put it in a separate process so that it could be killed.,To guard against creating threads, you'd need to extend SecurityManager (the default implementation allows untrusted code to access non-root thread groups).,Java security does allow you to prevent access to the file system.,For database restrictions, you might be able to use the standard SQL user security, but that is quite weak. Otherwise, you need to provide an API that enforces your restrictions.,Edit: I should point out that the version of Rhino provided with JDK6 has had security work done on it, but doesn't include the compiler.",13k,36,no,"SA2.1, SB1",10,Design,Security,,,socket,,2008-09-18 16:43:57Z,"2009-04-16 04:45:22Z,2009-04-17 13:04:14Z,2008-09-18 16:43:57Z,2011-05-06 21:25:54Z,2015-07-15 14:19:47Z,2008-09-18 16:09:13Z","939,117,547,927,603,000,000,000,000,000,000,000,000,000"
https://stackoverflow.com/questions/126781/c-union-in-c-sharp,Accepted,2008-09-24 12:20:32Z,2018-07-05 22:15:31Z,Viktor Elofsson,"1,499",6,"c#,c++,unions",C++ union in C#,"I'm translating a library written in C++ to C#, and the keyword 'union' exists once. In a struct.,What's the correct way of translating it into C#? And what does it do? It looks something like this;","You can use explicit field layouts for that:,Untested. The idea is that two variables have the same position in your struct. You can of course only use one of them.,More informations about unions in",52k,78,yes,"SA1, SA2.1, SA2.2, SB1, SB2",84,Coding,Data handling,Data format/compatibility,,union in c++ and c#,,2008-09-24 12:24:41Z,"2008-09-24 12:24:41Z,2008-09-24 15:37:33Z,2016-09-21 10:47:51Z,2008-09-24 12:25:03Z,2008-09-24 12:34:54Z,2018-06-29 08:49:51Z","1,267,811,268,071,270,000,000,000,000,000,000,000,000,000,000"
https://stackoverflow.com/questions/148071/problem-using-large-binary-segment-in-ooxml,Accepted,2008-09-29 09:21:40Z,2008-10-06 12:35:42Z,QBziZ,"2,988",2,"c#,.net,c++,com,openxml",Problem using large binary segment in OOXML,",A plotting component that uses OOXML to generate a document.,Plotting component consists of several parts. All parts are written in C++ as exe + dll's, with the exception of the interface to the OOXML document.
The latter component is a COM component that was created in C#/.NET. The main reason for this is that the .NET framework contains ,. This is a very handy built-in facility for dealing with OOXML documents.,We create a document out of a template OOXML document where certain bits and pieces are replaced by their actual content.,One of these bits is an OLE Server component. Basically this is a binary segment within the OOXML file. For writing this binary segment, the Packaging component apparently uses isolated storage. ,Writing a segment > 8MB results in an exception being thrown ""Unable to determine the identity of the domain"".,On the C++ side this exception contains the error ISS_E_ISOSTORE ( 0x80131450 ).,We have analyzed this and as far as we can tell, this is a security feature that prevents semi-untrusted third-party component from completely ruining your HD by writing immense files.,We have then tried a lot of things in the .NET/COM component ( creating custom AppDomains, setting Attributes for maximum permissivity, Creating our own Streams and passing those to the Packaging component ) but every time it resulted in the same exception being thrown.,What could we do to make this work?,Could it be that when the .NET component is instantiated as a COM component, its AppDomain is alway untrusted?","You might try to unzip the package yourself (instead of using the .NET package API), write directly to the file which represents the binary segment and zip it again.",658,7,no,"SA2.1, SB1",2,DEM,Build,,,file error,,2008-10-06 12:35:42Z,"2008-10-06 12:35:42Z,2008-09-29 19:29:58Z","148,071,174,086,150,000"
https://stackoverflow.com/questions/210978/using-os-execvp-in-python,Accepted,2008-10-17 03:04:38Z,2008-10-17 12:11:04Z,mipadi,"363,732",2,"python,shell,exec",Using os.execvp in Python,"I have a question about using , in Python. I have the following bit of code that's used to create a list of arguments:,When I output a string using , and paste that into my shell prompt, the JVM launches fine, and everything works. Everything works if I use , in my Python script, too., the following bit of code does not work:,I get the following error:,So what gives? Why does copying/pasting into the shell or using , work, but not ,?","If your ""classpath"" variable contains for instance ""-classpath foo.jar"", it will not work, since it is thinking the option name is ""-classpath foo.jar"". Split it in two arguments: [..., ""-classpath"", classpath, ...].,The other ways (copy and paste and system()) work because the shell splits the command line at the spaces (unless they are escaped or quoted). The command line is in fact passed down to the called program as an array (unlike on Windows), and the JVM is expecting to find an element with only ""-classpath"" followed by another element with the classpath.,You can see the difference for yourself by calling the following small Python script instead of the JVM:",11k,7,Yes,"SA2.1, SA2.2, SB1",11,Coding,Data handling,Data format/compatibility,,HTTPRequest,,2008-10-17 03:07:53Z,"2008-10-17 03:07:53Z,2008-10-17 12:11:04Z","210,978,210,982,211,000"
https://stackoverflow.com/questions/213628/how-to-convert-a-c-string-char-array-into-a-python-string-when-there-are-non-a,Accepted,2008-10-17 19:58:07Z,2014-11-14 02:07:47Z,Vebjorn Ljosa,"15,750",3,"python,c,character-encoding,embedding",How to convert a C string (char array) into a Python string when there are non-ASCII characters in the string?,"I have embedded a Python interpreter in a C program. Suppose the C program reads some bytes from a file into a char array and learns (somehow) that the bytes represent text with a certain encoding (e.g., ISO 8859-1, Windows-1252, or UTF-8). How do I decode the contents of this char array into a Python string?,The Python string should in general be of type ,?????for instance, a , in Windows-1252 encoded input becomes a ,.,I have attempted to use ,, but it always fails when there are non-ASCII characters in the string. Here is an example that fails:,The error message is ,, which indicates that the , encoding is used even though we specify , in the call to ,.,The following code works around the problem by using , to create a Python string of the undecoded bytes, then calling its , method:","PyString_Decode does this:,IOW, it does basically what you're doing in your second example - converts to a string, then decode the string. The problem here arises from PyString_AsDecodedString, rather than PyString_AsDecodedObject. PyString_AsDecodedString does PyString_AsDecodedObject, but then tries to convert the resulting unicode object into a string object with the default encoding (for you, looks like that's ASCII). That's where it fails.,I believe you'll need to do two calls - but you can use PyString_AsDecodedObject rather than calling the python ""decode"" method. Something like:,I'm not entirely sure what the reasoning behind PyString_Decode working this way is. A , seems to indicate that it has something to do with chaining the output, but since the Python methods don't do the same, I'm not sure if that's still relevant.",13k,7,yes,"SA1, SA2.1, SA2.2, SB1, SB2",6,Coding,Data handling,Data format/compatibility,,convert data,,2008-10-18 19:59:25Z,"2008-10-18 19:59:25Z,2008-10-17 20:00:47Z,2008-10-17 20:47:20Z","213,628,215,507,213,000,000,000"
https://stackoverflow.com/questions/419240/how-to-get-javascript-function-data-into-a-php-variable,Accepted,2009-01-07 05:02:20Z,2013-04-19 01:13:44Z,venkatachalam,"101,533",5,"php,javascript,function",How to get JavaScript function data into a PHP variable,"I am using PHP and JavaScript. My JavaScript code contains a function, get_data():,now I have PHP code with the following.,How do I assign the JavaScript function data into the PHP variable?","Use jQuery to send a JavaScript variable to your PHP file:,In your PHP code, get your variables from , and , like this:",45k,10,yes,"SA2.1, SA2.2, SB1",11,Coding,Interfacing,Invocation mechanism,Explicit interfacing,-,,2009-01-07 05:48:28Z,"2009-01-07 05:48:28Z,2009-01-07 05:06:09Z,2009-01-07 06:01:46Z,2009-01-07 05:05:31Z,2012-11-26 08:14:06Z","41,924,041,932,641,900,000,000,000,000,000,000,000"
https://stackoverflow.com/questions/438594/how-to-call-java-objects-and-functions-from-cpython,Accepted,2009-01-13 10:49:01Z,2018-08-24 02:13:11Z,nosklo,"196,096",6,"java,python,function,language-interoperability",How to call java objects and functions from CPython?,"I have a python program, which runs on the CPython implementation, and inside it I must call a function defined in a java program. How can I do this?,It would be nice to be able to use some java objects too.,Jython is not an option. I must run the python part in CPython.","The easiest thing to do is ,This is the minimum. And it's really not much. I count 6 lines of java, 3 lines of Python and you're up and running.,If you want to pass arguments to this Java class constructor or method function, you'll have to write a few more lines of code. You have two choices.",9k,11,no,"SA2.1, SA2.2, SB1",9,Design,Interfacing,Interfacing choice,,method choice,,2009-01-13 11:28:40Z,"2010-09-25 10:55:08Z,2009-01-13 11:28:40Z,2009-01-14 20:00:08Z,2009-01-13 11:15:46Z,2014-06-16 16:07:00Z,2009-01-13 11:11:40Z","438,594,379,350,443,000,000,000,000,000,000,000,000,000,000"
https://stackoverflow.com/questions/531311/how-can-i-generate-dynamic-javascript,Accepted,2009-02-10 07:02:57Z,2020-09-24 22:30:35Z,Eastern Monk,"5,885",4,"php,javascript,yui",How can I generate Dynamic Javascript?,"I render a page using YUI. and depending on the user I need to change how it is rendered. This change is not something that can be parametrized, it is drastic and different for each user.,Please tell me how can I generate Javascript dynamically?","I personally use a PHP file to pass a JavaScript object made up of some basic session and internal settings, nothing mission-critical as passing information to the client isn't overly secure, but I believe it might follow the same principles as what you are looking for.,Similarly, I use this to display certain elements once the client is logged in, although all the authorization is still done on the server-side. If my session handler gives the PHP file the ok, it outputs a JavaScript object using a PHP heredoc string, otherwise, it doesn't output anything. You can use attributes of this object to compare against, or you could output only the JavaScript for how a certain page should be rendered, based on settings in your PHP file.,HTML:,PHP:",7k,9,no,"SA2.1, SA2.2, SB1",11,Design,Embedding,,,post/net,,2009-02-10 23:01:15Z,"2009-02-10 23:01:15Z,2009-02-10 07:07:37Z,2009-02-10 07:09:54Z,2009-02-10 07:24:23Z","531,311,534,655,531,000,000,000,000,000"
https://stackoverflow.com/questions/726410/serialize-in-c-then-deserialize-in-c,Accepted,2009-04-07 15:45:28Z,2011-12-20 09:39:47Z,scottm,"26,693",6,"c#,c++,serialization",Serialize in C++ then deserialize in C#?,"Is there an easy way to serialize data in c++ (either to xml or binary), and then deserialize the data in C#? ,I'm working with some remote WINNT machines that won't run .Net. My server app is written entirely in C#, so I want an easy way to share simple data (key value pairs mostly, and maybe some representation of a SQL result set). I figure the best way is going to be to write the data to xml in some predefined format on the client, transfer the xml file to my server, and have a C# wrapper read the xml into a usable c# object.,The client and server are communicating over a tcp connection, and what I really want is to serialize the data in memory on the client, transfer the binary data over the socket to a c# memory stream that I can deserialize into a c# object (eliminating file creation, transfer, etc), but I don't think anything like that exists. Feel free to enlighten me. ,I know I can create a struct in the c++ app and define it in c# and transfer data that way, but in my head, that feels like I'm limiting what can be sent. I'd have to set predefined sizes for objects, etc","might be useful to you.,.NET ports are available from , and ,.",11k,11,no,"SA1, SA2.1, SB1",8,Design,Data handling,Data format/compatibility,,Serialization in different language,,2009-04-07 15:48:37Z,"2009-04-07 15:48:37Z,2011-12-20 09:39:47Z,2009-04-07 15:53:18Z,2009-04-07 15:54:04Z,2009-04-07 15:55:04Z,2009-04-07 15:55:29Z","7,264,107,264,208,570,000,000,000,000,000,000,000,000,000"
https://stackoverflow.com/questions/729562/how-to-compile-c-sharp-application-with-c-static-library,Accepted,2009-04-08 11:22:03Z,2009-04-08 12:08:22Z,Ivan Prodanov,"32,290",4,"c#,c++,static",How to compile C# application with C++ static library?,"I turned my C++ Dynamic link library into Static library just to acquire more knowledge.
My question is how can I use the .obj file to compile both projects with C# express/MS visual studio?","no, you can't access static libraries directly from C#. You , to use a DLL.",19k,21,no,"SA2.1, SB1",23,DEM,Build,,,compile problem,,2009-04-08 11:27:28Z,"2009-04-08 11:27:28Z,2009-04-08 12:08:22Z,2009-04-08 11:46:39Z,2009-04-08 11:28:36Z","729,562,729,579,729,000,000,000,000,000"
https://stackoverflow.com/questions/799076/returning-a-stdstring-from-a-c-dll-to-a-c-sharp-program-invalid-address-s,Accepted,2009-04-28 17:42:21Z,2016-03-30 10:08:03Z,djcouchycouch,"12,416",1,"c#,c++,string,marshalling",Returning a std::string from a C++ DLL to a c# program -> Invalid Address specified to RtlFreeHeap,"In a function in my C++ DLL, I'm returning a std::string to my c# application. It pretty much looks like this:,But when my C# code calls this function, I get this message in my output window:,The function declaration in c# looks like this:,From what I've been able to find online, sometimes this message appears when there's an inconsistency between which version of new(debug or release, etc) is being used with delete. But I'm not sure if that is what is going on in my case. So I'm not sure exactly what's causing it. Maybe the MashallAs might have something to do with it? ,Any ideas?,Thanks!","I managed to find the issue. It was the way the C# definition was done. From what I can understand, using the MarshallAs(UnmanagedType.LPStr) in combination with the string return type makes it so that it'll attempt to free the string when its done. But because the string comes from the C++ DLL, and most likely a totally different memory manager, it fails. And even if it didn't fail, I don't want it to be freed anyway.,The solution I found was to change the C# declaration to this (the C++ code is unchanged):,So this makes it so that it just returns a pointer to the string data. And then to change it to a string, pass it to Marshal.PtrToStringAnsi(),And that gets wrapped into another function for cleanliness. ,I found the solution from this page:",7k,10,yes,"SA1, SA2.1, SA2.2, SB1, SB2",13,Coding,Data handling,Interoperability,,HTTPRequest,,2009-04-28 18:16:33Z,2009-04-28 18:16:33Z,"799,076,799,210"
