accepted,answer,link,question
Accepted,"You can manually undefine ,, if it is defined, prior to including ,. Add the following lines to the top of the cpp file which contains these assert statements. Make sure these are the very first statements in that file.,This will ensure that , is not defined when the processor includes ,, which will result in the assertion checks being compiled into your code.",https://stackoverflow.com/questions/24275714/how-to-override-dndebug-compile-flag-when-building-cython-module,"I have a Cython module that calls a C++ function via ,.  The C++ function has , statements, and I would like to check those assertions.  However, when I create the module by calling ,, gcc is always invoked with ,.  Whenever the code is run, the assertions are not checked.,I can't find a way to override , using ,.  Is this possible? ,Currently the only way I have found to deal with this is to manually call cython, gcc, and g++ with the options that are used by ,, but to take out ,.  But there must be a simpler way."
Undetermined,"extern ""C"" doesn't recognize std::string.,You may want to try this:,
Test.cpp,Use the following command to compile the cpp code : ,Sample test code :,
Test.html    ",https://stackoverflow.com/questions/21816960/how-to-pass-strings-between-c-and-javascript-via-emscripten,"I am learning emscripten, and I can't even get the most basic string manipulation working, when passing strings between C++ and JS.,For example, I would like to write a string length function. In C++:,Called from javascript as:,This yields , for me. How do I make this work as expected? Which string type should I use here? ,? ,? ,? None seem to work; I always get pretty random values.,This is only the beginning... How do I then , a string from C++ like this?,And in JS:,Again, I cannot find a way to make this work; I always get garbage in JS.,So my question is clearly: How do I marshal string types between JS and C++ via Emscripten?"
Undetermined," works very well. It's a means to bind C/C++ to a huge variety of languages. I have experience of using this to talk to C++ with very little grief. , on using Swig and Java together. , gets you going very quickly, with many examples including Java.,I would however investigate splitting your application into a client/server architecture, to separate the C++ backend from the Java front end. You'll avoid the C++/Java development and integration pain = although you'll have to implement some communication protocol between the front and back end depending on requirements (e.g. basic sockets / webservice / HTTP+REST or possibly CORBA - which comes natively to Java and is designed for cross-language communication).",https://stackoverflow.com/questions/1843205/are-there-tools-to-integrate-java-and-c,"thanks for reading this question.,I am doing this homework which need a GUI as frond end to integrate with back end code which written in C++.,I wanna to write this front end GUI in java as its cross-platform feature and strong graphic components.,Is there any good way I can integrate java and C++ well?,Thank you"
Accepted,"Return code -11 means ""segmentation fault"". A negative return code usually means that the process was terminated by a signal. Return code -11 means it was signal 11, which is SIGSEGV.",https://stackoverflow.com/questions/24139389/unable-to-find-out-what-return-code-of-11-means,"I am writing a tool which is written in python and C. The python script reads a configuration file, performs some validation makes several calls to the C program.,system: RHE 5.7,
python: 2.7.6,
gcc: 4.5.2,Some of the parameters to the called C program are the paths of input files. There is one case where the input file path is the same for several C program invocations. In this case only the first call succeeds, and the returncode from the python subprocess module is '-11'.,I am not sure how to progress this. For a start, I cannot find documentation indicating what '-11' might mean as an exit status. It does not appear to be in the 'standard' codes in /usr/include/sysexits.h. I am guessing that the code could also be interpreted as 0xf5 or 245, since exit codes are I believe really signed 8-bit values.,I have added debug to the start of the C program to print out the arguments it was called with, but nothing appears for the failed invocations. I can understand how the C might fail re-opening a file which was read on the previous invocation (perhaps), but the code doesn't even get that far!,So, where is the exit code coming from? Is it from the (bash) environment which the python subprocess module presumably uses to invoke the C program? Is it from the C runtime for the C program before it even reaches main?,I suppose I could progress this by moving the 'loop' down into the C, so that it only gets called once for each input file path, but that still does not explain this behaviour. Could someone please explain how I can determine the cause of this error? Thanks.,(FWIW) calling from python:,Entry to the C:,Error output:"
Accepted,"In C# there's no equivalent to ,. ,Maybe type inference would be the nearest feature to ,:,But there's no actual syntax feature that would allow to declare a storngly-typed variable with the type inferred from other given variable or expression.",https://stackoverflow.com/questions/25828198/does-c-sharp-have-an-equivalent-to-decltype-in-c11,"Being already familiar with C++ and after trying some of the new features C++11 offers, I decided to become more familiar with C#.,As expected, programming principles are similar, but some of the features are different. The differences and similarities are what I am looking after and therefore I decided to ask if C# has an equivalent to , in C++11?,In the example above 'var' would work just fine, so here is an example of when decltype is needed. If I only conditionally call a function then I need to declare the variable that will hold its result without using 'var', as shown here:,With decltype I could say something like this:,This extends the awesomeness of 'var' and would have saved me from tracking down what the concrete types are. To be clear, I , what the types of pendingSchedulingData and schedulingData are so forcing me to figure that out and mention it in the code has real cost but no value."
Undetermined,"What you are looking for is , in JavaScript and , in PHP. Open up your console and type the following:,And you will get the following back:,So the first one is solved. To get back the original , from the above one, use ,:,For encoding and decoding into JSON, it is better for you to use the PHP's built-in function. The same , can also be used in PHP as ,, they both give the same result.,Also, see , for more information. Hope this helps. ",https://stackoverflow.com/questions/34921078/how-to-convert-indic-characters-to-unicode-escaped-characters,"I am currently designing a mobile application for Android. The text and content are in the Local Indic Language, Tamil. For Welcome, the equivalent of Tamil translation is: ,. Since Android cannot display Indic Text, I am converting it using a service called ,.,So this works in this way:,How can I make this using JavaScript or PHP as I have huge loads of text to be converted and made it into JSON. Sample JSON:,I also would like to know how to decode the above JSON and show it as ,. Thanks in advance."
Accepted,"Finally got it solved, posting here in case someone ever needs to encrypt or decrypt passwords for Funambol using PHP:",https://stackoverflow.com/questions/3421856/implementing-this-java-password-encryption-algorithm-in-php,"I'm trying to implement a password encryption algorithm used in Funambol mobile sync server in PHP but I'm having hard time as I come from a non-Java background. The code itself seems simple:,I'm not necessarily looking for a complete solution, rather pointers on what I can use on PHP's side. Can mcrypt handle this and to what extent? What else do I need? Is this even doable in PHP?,To the curious: I'm building an interface to the Funambol server and I'd like to be able to add users from the interface itself using PHP."
Accepted,Try this.,https://stackoverflow.com/questions/16795/phps-htmlspecialcharacters-equivalent-in-net,"PHP has a great function called , where you pass it a string and it replaces all of HTML's special characters with their safe equivalents, it's , a one stop shop for sanitizing input. Very nice right?,Well is there an equivalent in any of the .NET libraries?,If not, can anyone link to any code samples or libraries that do this well?"
Accepted,"If you want to render a file with Jinja, you need to call , on it and pass it the desired values.  Just linking directly to a static file obviously doesn't do that.  One solution is to use Jinja's , block.  This requires that 'myjs.js' is in the 'templates/js' folder, and will include it in the rendered template, passing all the templates context to the included template.,The , solution is to not require rendering the js on every request, and instead passing parameters to js functions from your template.",https://stackoverflow.com/questions/27917471/pass-parameter-with-python-flask-in-external-javascript,"I use Python Flask for my website and I pass several parameters to Javascript. This is my code:,With this way, it works without a problem. The example is a simplified of my own. But, if I want to have the script on an external file and call it like this:,And the , file is the ,, then it doesn't work. So, is there any way to pass parameters in external Javascript files with Python Flask?"
Accepted,"Well, I've had some free time on my hands, so I decided to relive my good old linux days :],After reading a bit about awk and sed, I've decided that it might be better to use both, as it is easier to add indentation in awk and parse strings in sed.,Here is the ~/sed_script that formats the source file:,And here is the ~/awk_script that adds indentation:,And you use them like that:,It is far from proper formatting tool, but I hope it will do OK as a sample script for reference :] Good luck with your learning.",https://stackoverflow.com/questions/1137946/java-code-formatting-using-shell-script,"I know this is silly but I can't overcome my curiosity.  Is it possible to write a shell script to format a piece of java code?,For example, if a user writes in a code:,I would like to write a shell script which would make the code like this.,To be precise, we should change the formatting of flower brackets.  If it is try/catch or control structures we should change it to same line and if it is function/method/class it should come in next line.I have little knowledge about sed and awk which can do this task so easily.  Also I know this can be done using eclipse."
Accepted,"You can browse the packages manually here:,
,These are the Python related packages:,
- iPhone/Python = Example applications including source,
- PyObjC = Python/Objective-C connection library,
- Python = Packages required to run Python,
- Setup Tools = Package manager for Python modules,This guide will get you started running the first script:,
,
Especially: check the developer filter note, this makes the packages show up.,Here is the introduction to PyObjC by Jay Freeman (including example):,
,
But you better start with running simple Python scripts!,Response to your comment:,
,People on StackOverflow generally don't like requests for 'step-by-step' instructions or request for writing complete snippets of code. The scope of your question is just too wide, you better ask more specific questions. Show what you tried so far and what is causing the exact problem. For example, you show the link with the guide you're following and mention the step that's causing the trouble. If you ask it the right way, people are more then willing to help you. Just show what you tried to fix the problem yourself. I understand your intention is right, I voted you up :) ",https://stackoverflow.com/questions/5555015/python-on-iphone,"How can I get a Python shell on my iPhone?  I'm looking for step-by-step instructions.,It's jailbroken using greenpo1son, I have SSH enabled and know how to use it. "
