,accepted,ans_num,crt_ans,link,rep,time
0,Undetermined,2,no,https://stackoverflow.com/questions/50149603/could-wasm-be-used-to-check-integrity-of-a-js-method,"19,122,603","2018-05-03 09:28:39Z,2018-05-07 22:40:08Z"
1,Accepted,9,1,https://stackoverflow.com/questions/4377109/shell-script-execute-a-python-program-from-within-a-shell-script,"6669,1481,6560,475,729,3161,781,21,577","2010-12-07 13:34:45Z,2010-12-07 13:54:30Z,2010-12-07 15:08:21Z,2018-03-08 09:42:31Z,2010-12-07 13:36:01Z,2016-09-12 06:05:43Z,2015-07-21 04:12:54Z,2017-12-29 02:04:07Z,2018-09-05 06:45:20Z"
2,Undetermined,1,no,https://stackoverflow.com/questions/38199051/boost-python-make-constructor-and-custodians-and-ward,641,2020-06-22 17:17:25Z
3,Accepted,4,1,https://stackoverflow.com/questions/4167233/how-do-i-pass-arrays-from-java-to-c-using-swig,"1,062,080,618,506,850,000","2010-11-14 16:56:44Z,2010-11-12 19:34:20Z,2010-11-12 17:20:02Z,2010-11-12 17:23:55Z"
4,Accepted,1,1,https://stackoverflow.com/questions/11926340/how-to-pass-a-c-object-to-another-c-object-with-boost-python,49017,2012-08-15 20:43:28Z
5,Accepted,9,1,https://stackoverflow.com/questions/33326699/passing-laravel-array-in-javascript,"15,341,083,711,344,100,000,000,000,000,000,000","2018-02-06 17:15:48Z,2015-10-25 05:59:33Z,2019-03-15 18:40:06Z,2019-06-28 06:38:05Z,2015-10-25 05:59:20Z,2019-06-05 06:35:47Z,2018-08-28 07:41:40Z,2020-03-31 12:57:35Z,2021-08-13 08:51:07Z"
6,Accepted,9,1,https://stackoverflow.com/questions/15485354/angularjs-http-post-to-php-and-undefined,"67920,794,4706,3646,1970,73,23063,867,1318","2013-03-18 19:54:40Z,2014-06-10 12:25:20Z,2014-05-22 14:56:15Z,2014-05-22 19:01:59Z,2014-06-27 06:46:54Z,2014-03-18 00:02:42Z,2015-03-11 14:31:05Z,2015-06-17 02:34:42Z,2016-07-14 08:04:46Z"
7,Accepted,3,1,https://stackoverflow.com/questions/21278915/getting-to-interactive-django-shell-in-pydev,"127,911,069,565","2014-03-03 17:04:40Z,2015-05-03 06:16:24Z,2017-06-23 18:18:18Z"
8,Accepted,2,1,https://stackoverflow.com/questions/14661249/java-jni-creating-a-swing-window-using-jni-from-c,"10,955,169","2013-05-07 14:56:22Z,2013-12-27 09:23:49Z"
9,Accepted,5,1,https://stackoverflow.com/questions/21153805/convert-php-associative-array-into-javascript-object,"39438,137,757,71,21","2014-01-16 05:15:29Z,2017-03-15 19:52:14Z,2018-06-11 16:03:54Z,2020-04-14 16:11:19Z,2017-05-03 13:22:44Z"
10,Accepted,1,1,https://stackoverflow.com/questions/29745584/using-getdirectbufferaddress-from-jni,11107,2015-04-20 13:45:46Z
11,Accepted,1,1,https://stackoverflow.com/questions/44123252/detecting-c-types-limits-limits-h-in-python,224034,2017-05-22 23:03:08Z
12,Accepted,6,1,https://stackoverflow.com/questions/2566764/encode-compress-sequence-of-repeating-integers,"520,728,200,380,448,000,000,000,000","2010-04-02 13:09:41Z,2010-04-02 13:18:28Z,2010-04-02 13:25:11Z,2010-04-02 13:41:05Z,2010-04-02 13:46:01Z,2015-07-16 06:26:27Z"
13,Accepted,2,1,https://stackoverflow.com/questions/8654519/what-happens-if-i-call-a-java-function-from-multiple-threads-from-c-with-jni,"15,086,506,268","2011-12-28 12:07:21Z,2011-12-28 11:26:08Z"
14,Accepted,4,1,https://stackoverflow.com/questions/2462230/interacting-with-java-code-from-c-sharp,"201,441,079,053,041,000,000","2010-03-17 12:49:54Z,2010-03-17 12:47:52Z,2010-03-17 12:52:42Z,2012-08-03 21:14:06Z"
15,Undetermined,2,no,https://stackoverflow.com/questions/46420476/polymorphic-exception-handling-how-to-catch-subclass-exception,"1,673,450","2017-10-04 10:03:36Z,2017-10-06 09:28:30Z"
16,Undetermined,2,no,https://stackoverflow.com/questions/39193510/how-to-insert-arbitrary-json-in-htmls-script-tag,"13,546,264","2019-09-04 22:28:45Z,2017-08-30 02:17:53Z"
17,Accepted,2,1,https://stackoverflow.com/questions/2663429/what-is-the-best-way-to-identify-which-form-has-been-submitted,"1,805,211,819","2010-04-18 18:41:53Z,2010-04-18 18:43:32Z"
18,Accepted,5,1,https://stackoverflow.com/questions/58927296/adding-utf-8-support-to-js-php-script,"1,146,413,573,104,450,000,000","2019-11-21 23:49:08Z,2019-11-19 05:55:07Z,2019-11-21 07:58:26Z,2019-11-22 20:11:36Z,2019-11-23 23:52:38Z"
19,Accepted,1,1,https://stackoverflow.com/questions/799076/returning-a-stdstring-from-a-c-dll-to-a-c-sharp-program-invalid-address-s,12456,2009-04-28 18:16:33Z
20,Accepted,2,1,https://stackoverflow.com/questions/39948485/how-can-i-convert-python-boolean-object-to-c-int-or-c-boolean-python-c-api,"11,568,912,689","2016-10-25 21:28:16Z,2016-10-09 22:40:08Z"
21,Accepted,2,1,https://stackoverflow.com/questions/29733594/thymeleaf-print-json-string-as-json-object-into-a-javascript-variable,"130,433,314","2015-05-09 22:00:10Z,2015-12-22 23:43:07Z"
22,Undetermined,3,no,https://stackoverflow.com/questions/44331769/how-to-post-a-tweet-using-codebird-php-from-pop-up-window,"11,438,117,734","2017-06-12 12:36:53Z,2017-06-07 18:47:31Z,2017-06-21 00:54:55Z"
23,Undetermined,2,no,https://stackoverflow.com/questions/473029/how-can-i-get-the-full-backtrace-in-spidermonkey-jsapi-from-my-reporterror-fun,"1,371,699","2014-03-03 11:17:24Z,2012-06-06 14:01:50Z"
24,Accepted,7,1,https://stackoverflow.com/questions/4365738/how-to-access-php-session-variables-from-jquery-function-in-a-js-file,"19880,964,9364,21,66430,537,2377","2010-12-06 11:12:53Z,2011-12-05 10:58:58Z,2013-04-17 10:27:10Z,2011-09-20 15:11:26Z,2010-12-06 11:09:34Z,2016-09-02 11:34:05Z,2017-11-24 09:19:49Z"
25,Accepted,2,1,https://stackoverflow.com/questions/4591461/marshalling-a-char-in-c-sharp,"2,612,713,893","2011-01-04 07:37:46Z,2011-01-04 07:56:15Z"
26,Accepted,6,1,https://stackoverflow.com/questions/13242098/why-should-i-embed-a-scripting-language,"10,091,007,819,837,100,000,000,000","2012-11-05 23:37:15Z,2012-11-06 02:00:09Z,2012-11-05 23:33:29Z,2012-11-05 23:51:36Z,2012-11-06 02:11:52Z,2012-11-06 02:58:52Z"
27,Accepted,2,1,https://stackoverflow.com/questions/1309509/correct-way-to-marshal-size-t,"9,625,553,312","2009-08-21 00:19:39Z,2009-08-21 01:32:44Z"
28,Accepted,1,1,https://stackoverflow.com/questions/9696980/php-constant-inside-js-file,4955,2012-03-14 06:36:46Z
29,Undetermined,4,no,https://stackoverflow.com/questions/2357106/weird-mono-compilation-error,"53920,1954,25112,83","2010-03-21 06:31:20Z,2010-03-10 08:33:55Z,2010-03-14 16:22:31Z,2010-03-17 19:51:11Z"
30,Accepted,2,1,https://stackoverflow.com/questions/2381241/what-is-the-subprocess-popen-max-length-of-the-args-parameter,"12,043,148,065","2010-03-04 18:29:16Z,2019-03-02 14:51:44Z"
31,Accepted,4,1,https://stackoverflow.com/questions/13289171/marshalasunmanagedtype-lpstr-how-does-this-convert-utf-8-strings-to-char,"8,860,391,532,698,170","2012-11-08 13:45:47Z,2018-03-21 03:34:23Z,2014-11-29 04:10:27Z,2020-11-18 15:45:24Z"
32,Accepted,2,1,https://stackoverflow.com/questions/6872482/how-to-write-javascript-in-the-code-behind-file,"8,399,159,579","2011-07-29 11:44:00Z,2011-08-01 07:23:26Z"
33,Accepted,6,1,https://stackoverflow.com/questions/808692/creating-an-interactive-shell-for-net-apps-and-embed-scripting-languages-like-p,"340,835,917,366,453,000,000,000,000","2009-04-30 19:45:40Z,2009-04-30 20:53:52Z,2009-04-30 20:05:49Z,2009-04-30 20:15:16Z,2009-06-27 11:33:14Z,2009-04-30 19:52:54Z"
